P,rest,pscale,name
"(-3.0380001068115234, 14.568042755126953, 4.549753665924072)","(-3.0380001068115234, 14.568042755126953, 4.549753665924072)",1.8145142793655396,piece_131
"(-0.3297141194343567, 6.9408278465271, 4.606909275054932)","(-0.3297141194343567, 6.9408278465271, 4.606909275054932)",1.2839183807373047,piece_132
"(2.267517566680908, 15.99206256866455, -4.141742706298828)","(2.267517566680908, 15.99206256866455, -4.141742706298828)",1.177337408065796,piece_133
"(-0.48249709606170654, 15.620250701904297, -3.772249698638916)","(-0.48249709606170654, 15.620250701904297, -3.772249698638916)",1.3354177474975586,piece_134
"(-3.0380001068115234, 22.219688415527344, -5.301281929016113)","(-3.0380001068115234, 22.219688415527344, -5.301281929016113)",0.6495959758758545,piece_135
"(-0.5229664444923401, 18.11380386352539, -4.6993231773376465)","(-0.5229664444923401, 18.11380386352539, -4.6993231773376465)",1.6819591522216797,piece_136
"(-3.0380001068115234, 9.648643493652344, 5.597390651702881)","(-3.0380001068115234, 9.648643493652344, 5.597390651702881)",0.9851657152175903,piece_137
"(3.0380001068115234, 13.047771453857422, 4.479342937469482)","(3.0380001068115234, 13.047771453857422, 4.479342937469482)",1.6722331047058105,piece_138
"(1.870154857635498, 26.22809410095215, -1.4790624380111694)","(1.870154857635498, 26.22809410095215, -1.4790624380111694)",1.3531861305236816,piece_139
"(-3.0380001068115234, 18.629653930664062, -1.8630638122558594)","(-3.0380001068115234, 18.629653930664062, -1.8630638122558594)",0.9504938125610352,piece_140
"(-3.0380001068115234, 17.613723754882812, 1.8833478689193726)","(-3.0380001068115234, 17.613723754882812, 1.8833478689193726)",0.7208693027496338,piece_141
"(-2.1778528690338135, 23.53375244140625, -0.40576067566871643)","(-2.1778528690338135, 23.53375244140625, -0.40576067566871643)",1.0436605215072632,piece_142
"(0.9745841026306152, 12.812152862548828, -2.182091474533081)","(0.9745841026306152, 12.812152862548828, -2.182091474533081)",1.4405165910720825,piece_143
"(1.8470077514648438, 15.684563636779785, -3.6689181327819824)","(1.8470077514648438, 15.684563636779785, -3.6689181327819824)",1.4597654342651367,piece_144
"(3.0380001068115234, 21.914735794067383, -0.3954503834247589)","(3.0380001068115234, 21.914735794067383, -0.3954503834247589)",1.1655550003051758,piece_145
"(3.0380001068115234, 13.631950378417969, 4.1090521812438965)","(3.0380001068115234, 13.631950378417969, 4.1090521812438965)",1.4828307628631592,piece_146
"(-0.6999844312667847, 20.227333068847656, -6.818074703216553)","(-0.6999844312667847, 20.227333068847656, -6.818074703216553)",0.7666748762130737,piece_147
"(3.0380001068115234, 17.88302993774414, -3.74288272857666)","(3.0380001068115234, 17.88302993774414, -3.74288272857666)",0.8623179197311401,piece_148
"(3.0380001068115234, 9.854776382446289, 5.7406697273254395)","(3.0380001068115234, 9.854776382446289, 5.7406697273254395)",1.9244612455368042,piece_149
"(-3.0380001068115234, 10.346879959106445, 0.9894028306007385)","(-3.0380001068115234, 10.346879959106445, 0.9894028306007385)",1.3566231727600098,piece_150
"(-3.0380001068115234, 18.730039596557617, -3.971938371658325)","(-3.0380001068115234, 18.730039596557617, -3.971938371658325)",0.8688254356384277,piece_151
"(3.0380001068115234, 7.676877975463867, 1.102372646331787)","(3.0380001068115234, 7.676877975463867, 1.102372646331787)",1.7692900896072388,piece_152
"(-1.0700112581253052, 24.690662384033203, -0.5573095679283142)","(-1.0700112581253052, 24.690662384033203, -0.5573095679283142)",1.4571149349212646,piece_153
"(1.7345879077911377, 12.782831192016602, -2.4071133136749268)","(1.7345879077911377, 12.782831192016602, -2.4071133136749268)",1.222456455230713,piece_154
"(2.700190544128418, 7.735785961151123, 4.84804630279541)","(2.700190544128418, 7.735785961151123, 4.84804630279541)",1.6021842956542969,piece_155
"(-1.335425853729248, 6.671867370605469, 4.847651481628418)","(-1.335425853729248, 6.671867370605469, 4.847651481628418)",1.095655083656311,piece_156
"(-0.5294485092163086, 7.208573341369629, 2.3262264728546143)","(-0.5294485092163086, 7.208573341369629, 2.3262264728546143)",1.9815999269485474,piece_157
"(-1.2936064004898071, 6.090893745422363, 1.5524126291275024)","(-1.2936064004898071, 6.090893745422363, 1.5524126291275024)",1.6271461248397827,piece_158
"(-2.461862325668335, 7.959704399108887, 4.814948081970215)","(-2.461862325668335, 7.959704399108887, 4.814948081970215)",1.717086672782898,piece_159
"(2.261608600616455, 12.567415237426758, 5.281628608703613)","(2.261608600616455, 12.567415237426758, 5.281628608703613)",0.9801093339920044,piece_160
"(-3.0380001068115234, 9.879474639892578, 5.205324649810791)","(-3.0380001068115234, 9.879474639892578, 5.205324649810791)",1.835634469985962,piece_161
"(-2.539984941482544, 6.8926262855529785, 6.972450256347656)","(-2.539984941482544, 6.8926262855529785, 6.972450256347656)",0.6695665121078491,piece_162
"(1.2082480192184448, 9.795005798339844, 7.48696231842041)","(1.2082480192184448, 9.795005798339844, 7.48696231842041)",1.9230210781097412,piece_163
"(-3.0380001068115234, 17.641563415527344, -2.742605209350586)","(-3.0380001068115234, 17.641563415527344, -2.742605209350586)",1.1816492080688477,piece_164
"(-3.0380001068115234, 20.804424285888672, -2.5517027378082275)","(-3.0380001068115234, 20.804424285888672, -2.5517027378082275)",0.608028769493103,piece_165
"(0.038113489747047424, 6.1247076988220215, 5.561649322509766)","(0.038113489747047424, 6.1247076988220215, 5.561649322509766)",0.6565992832183838,piece_166
"(-3.0380001068115234, 21.067781448364258, -4.963511943817139)","(-3.0380001068115234, 21.067781448364258, -4.963511943817139)",0.8811596632003784,piece_167
"(2.018899917602539, 12.906654357910156, -2.7725117206573486)","(2.018899917602539, 12.906654357910156, -2.7725117206573486)",0.9500003457069397,piece_168
"(1.5956182479858398, 6.482471466064453, 1.066738247871399)","(1.5956182479858398, 6.482471466064453, 1.066738247871399)",1.3731005191802979,piece_169
"(1.363256573677063, 20.203899383544922, -6.882312774658203)","(1.363256573677063, 20.203899383544922, -6.882312774658203)",0.6972514390945435,piece_170
"(1.8708351850509644, 25.005739212036133, -4.63817834854126)","(1.8708351850509644, 25.005739212036133, -4.63817834854126)",1.460360050201416,piece_171
"(1.8328731060028076, 13.577049255371094, -1.9833025932312012)","(1.8328731060028076, 13.577049255371094, -1.9833025932312012)",1.9850560426712036,piece_172
"(3.0380001068115234, 8.982853889465332, 0.6592296361923218)","(3.0380001068115234, 8.982853889465332, 0.6592296361923218)",1.0723729133605957,piece_173
"(2.669999122619629, 15.722540855407715, -4.531754493713379)","(2.669999122619629, 15.722540855407715, -4.531754493713379)",0.6952495574951172,piece_174
"(-3.0380001068115234, 20.775043487548828, 0.06904610991477966)","(-3.0380001068115234, 20.775043487548828, 0.06904610991477966)",1.8629179000854492,piece_175
"(-3.0380001068115234, 10.307044982910156, 0.8729050755500793)","(-3.0380001068115234, 10.307044982910156, 0.8729050755500793)",0.7938365936279297,piece_176
"(-2.6601061820983887, 16.78915023803711, -3.7696964740753174)","(-2.6601061820983887, 16.78915023803711, -3.7696964740753174)",1.8943521976470947,piece_177
"(-3.0380001068115234, 10.806549072265625, 3.6670541763305664)","(-3.0380001068115234, 10.806549072265625, 3.6670541763305664)",1.7407984733581543,piece_178
"(3.0380001068115234, 22.80328941345215, 0.6332201361656189)","(3.0380001068115234, 22.80328941345215, 0.6332201361656189)",1.7400749921798706,piece_179
"(-0.8768858909606934, 14.948444366455078, -3.336531639099121)","(-0.8768858909606934, 14.948444366455078, -3.336531639099121)",1.4107099771499634,piece_180
"(3.0380001068115234, 25.277820587158203, -1.9251372814178467)","(3.0380001068115234, 25.277820587158203, -1.9251372814178467)",1.8621784448623657,piece_181
"(-1.8250980377197266, 16.23531723022461, -4.006518363952637)","(-1.8250980377197266, 16.23531723022461, -4.006518363952637)",1.4158222675323486,piece_182
"(-3.0380001068115234, 15.624414443969727, 1.6606690883636475)","(-3.0380001068115234, 15.624414443969727, 1.6606690883636475)",0.9699200391769409,piece_183
"(-3.0380001068115234, 9.914679527282715, 4.154501438140869)","(-3.0380001068115234, 9.914679527282715, 4.154501438140869)",0.960195004940033,piece_184
"(2.250694513320923, 21.47758674621582, -7.455474376678467)","(2.250694513320923, 21.47758674621582, -7.455474376678467)",0.7839069366455078,piece_185
